tag,mode,frame,det_ms,nav_ms,total_ms,fps,objects
yolo11tiny_1.3.1,stress,213,0.02,0.06,0.08,12345.68,0
yolo11tiny_1.3.1,stress,214,0.02,0.02,0.04,24242.42,0
yolo11tiny_1.3.1,stress,215,0.02,0.03,0.05,19559.9,0
yolo11tiny_1.3.1,stress,216,0.02,0.02,0.05,21978.02,0
yolo11tiny_1.3.1,stress,217,0.02,0.02,0.04,22857.14,0
yolo11tiny_1.3.1,stress,218,0.01,0.02,0.04,26695.85,0
yolo11tiny_1.3.1,stress,219,0.02,0.03,0.05,20906.07,0
yolo11tiny_1.3.1,stress,220,0.03,0.03,0.05,18518.52,0
yolo11tiny_1.3.1,stress,221,0.02,0.02,0.04,27057.74,0
yolo11tiny_1.3.1,stress,222,0.02,0.03,0.05,19769.1,0
yolo11tiny_1.3.1,stress,223,0.02,0.03,0.05,20960.85,0
yolo11tiny_1.3.1,stress,224,0.02,0.04,0.06,17167.38,0
yolo11tiny_1.3.1,stress,225,0.02,0.02,0.04,25396.83,0
yolo11tiny_1.3.1,stress,226,0.02,0.02,0.04,22620.34,0
yolo11tiny_1.3.1,stress,227,0.02,0.03,0.05,19123.75,0
yolo11tiny_1.3.1,stress,228,0.03,0.13,0.16,6089.8,0
yolo11tiny_1.3.1,stress,229,0.02,0.02,0.04,24793.59,0
yolo11tiny_1.3.1,stress,230,0.02,0.02,0.04,26087.18,0
yolo11tiny_1.3.1,stress,231,0.02,0.02,0.04,23143.86,0
yolo11tiny_1.3.1,stress,232,0.02,0.02,0.04,25559.11,0
yolo11tiny_1.3.1,stress,233,0.01,0.02,0.03,30113.23,0
yolo11tiny_1.3.1,stress,234,0.02,0.02,0.04,26086.5,0
yolo11tiny_1.3.1,stress,235,0.02,0.05,0.07,14545.45,0
yolo11tiny_1.3.1,stress,236,0.02,0.02,0.04,25585.92,0
yolo11tiny_1.3.1,stress,237,0.02,0.02,0.04,23233.12,0
yolo11tiny_1.3.1,stress,238,0.02,0.03,0.05,21371.17,0
yolo11tiny_1.3.1,stress,239,0.01,0.02,0.03,29483.74,0
yolo11tiny_1.3.1,stress,240,0.02,0.05,0.08,13121.98,0
yolo11tiny_1.3.1,stress,241,0.02,0.02,0.04,25505.0,0
yolo11tiny_1.3.1,stress,242,0.02,0.03,0.05,20512.82,0
yolo11tiny_1.3.1,stress,243,0.02,0.06,0.08,12772.7,0
yolo11tiny_1.3.1,stress,244,0.02,0.02,0.04,23077.1,0
yolo11tiny_1.3.1,stress,245,0.02,0.04,0.06,17530.94,0
yolo11tiny_1.3.1,stress,246,0.02,0.02,0.03,28951.1,0
yolo11tiny_1.3.1,stress,247,0.03,0.03,0.05,18490.1,0
yolo11tiny_1.3.1,stress,248,0.02,0.03,0.05,19512.2,0
yolo11tiny_1.3.1,stress,249,0.02,0.02,0.04,23738.87,0
yolo11tiny_1.3.1,stress,250,0.02,0.03,0.05,18972.45,0
yolo11tiny_1.3.1,stress,251,0.02,0.03,0.05,19543.85,0
yolo11tiny_1.3.1,stress,252,0.02,0.02,0.04,23188.41,0
yolo11tiny_1.3.1,stress,253,0.02,0.03,0.05,20151.13,0
yolo11tiny_1.3.1,stress,254,0.06,0.05,0.11,9277.21,0
yolo11tiny_1.3.1,stress,255,0.02,0.03,0.05,19108.04,0
yolo11tiny_1.3.1,stress,256,0.02,0.03,0.05,20117.49,0
